SEQUENCE1,SEQUENCE2,SEQUENCE3,SEQUENCE4,ORG,OBJ,PROJECT,ACCOUNT,ACCOUNT DESCRIPTION,TYPE,ORIGINAL APPROP
1000,11,1120,520110,10000580,520110,,1000-11-13-1120-000000-000000-000-520110-,M&R Equipment,E,23422
1000,11,1120,520210,10000580,520210,,1000-11-13-1120-000000-000000-000-520210-,Advertising,E,41000
1000,11,1120,520220,10000580,520220,,1000-11-13-1120-000000-000000-000-520220-,Prof & Technical Services,E,0
1000,11,1120,521900,10000580,521900,,1000-11-13-1120-000000-000000-000-521900-,Fees - Other,E,0
1000,11,1120,521910,10000580,521910,,1000-11-13-1120-000000-000000-000-521910-,Misc Contractual Services,E,288580
1000,11,1120,522000,10000580,522000,,1000-11-13-1120-000000-000000-000-522000-,Motor Fuels & Lubrcnts,E,298
1000,11,1120,522210,10000580,522210,,1000-11-13-1120-000000-000000-000-522210-,Specialty Departmental Supplie,E,7400
1000,11,1120,522230,10000580,522230,,1000-11-13-1120-000000-000000-000-522230-,Sm Tools & Expnd Eqpt,E,0
1000,11,1120,522240,10000580,522240,,1000-11-13-1120-000000-000000-000-522240-,Office Supplies,E,2231
1000,11,1120,522250,10000580,522250,,1000-11-13-1120-000000-000000-000-522250-,Technology Services,E,67516
1000,11,1120,522500,10000580,522500,,1000-11-13-1120-000000-000000-000-522500-,Telecommunications,E,11294
1000,11,1120,522510,10000580,522510,,1000-11-13-1120-000000-000000-000-522510-,ISP Telecommunications,E,13309
1000,11,1120,524010,10000580,524010,,1000-11-13-1120-000000-000000-000-524010-,ISP Rental of Land & Buildings,E,141552
1000,11,1120,529000,10000580,529000,,1000-11-13-1120-000000-000000-000-529000-,Travel & Meetings,E,3200
1000,11,1120,529020,10000580,529020,,1000-11-13-1120-000000-000000-000-529020-,Training Conf & Meetings,E,2500
1000,11,1120,529030,10000580,529030,,1000-11-13-1120-000000-000000-000-529030-,Postage,E,5410
1000,11,1120,529040,10000580,529040,,1000-11-13-1120-000000-000000-000-529040-,Printing & Publishing,E,35177
1000,11,1120,529050,10000580,529050,,1000-11-13-1120-000000-000000-000-529050-,"Dues,Subscr, & Prof Lic",E,13708
1000,11,1120,529999,10000580,529999,,1000-11-13-1120-000000-000000-000-529999-,Pcard expense - unallocated,E,0
1000,11,1120,560100,10000580,560100,,1000-11-13-1120-000000-000000-000-560100-,Reimbursed Expenses,E,-124264
1000,11,1130,510100,10000590,510100,,1000-11-13-1130-000000-000000-000-510100-,Salaries & Wages - Regular,E,652177
1000,11,1130,510150,10000590,510150,,1000-11-13-1130-000000-000000-000-510150-,Salary & Wage - Temp,E,0
1000,11,1130,510195,10000590,510195,,1000-11-13-1130-000000-000000-000-510195-,Employee Merit Pay,E,10121
1000,11,1130,515130,10000590,515130,,1000-11-13-1130-000000-000000-000-515130-,Social Security Tax,E,51154
1000,11,1130,515140,10000590,515140,,1000-11-13-1130-000000-000000-000-515140-,Empl Retirement Expns,E,47487
1000,11,1130,515150,10000590,515150,,1000-11-13-1130-000000-000000-000-515150-,Empl Insurance Premium,E,64870
1000,11,1130,515160,10000590,515160,,1000-11-13-1130-000000-000000-000-515160-,Retiree Insurance Premium,E,13484
1000,11,1130,515190,10000590,515190,,1000-11-13-1130-000000-000000-000-515190-,401K Retirement,E,19869
1000,11,1130,515200,10000590,515200,,1000-11-13-1130-000000-000000-000-515200-,Othr Empl Fringe Bnfts,E,6386
1000,11,1130,520280,10000590,520280,,1000-11-13-1130-000000-000000-000-520280-,Temporary Help Fees,E,1000
1000,11,1130,521910,10000590,521910,,1000-11-13-1130-000000-000000-000-521910-,Misc Contractual Services,E,5612
1000,11,1130,522210,10000590,522210,,1000-11-13-1130-000000-000000-000-522210-,Specialty Departmental Supplie,E,0
1000,11,1130,522230,10000590,522230,,1000-11-13-1130-000000-000000-000-522230-,Sm Tools & Expnd Eqpt,E,0
1000,11,1130,522240,10000590,522240,,1000-11-13-1130-000000-000000-000-522240-,Office Supplies,E,2918
1000,11,1130,522490,10000590,522490,,1000-11-13-1130-000000-000000-000-522490-,Other Materials/Supplies,E,0
1000,11,1130,522500,10000590,522500,,1000-11-13-1130-000000-000000-000-522500-,Telecommunications,E,4803
1000,11,1130,522510,10000590,522510,,1000-11-13-1130-000000-000000-000-522510-,ISP Telecommunications,E,4648
1000,11,1130,524010,10000590,524010,,1000-11-13-1130-000000-000000-000-524010-,ISP Rental of Land & Buildings,E,78565
1000,11,1130,529000,10000590,529000,,1000-11-13-1130-000000-000000-000-529000-,Travel & Meetings,E,1500
1000,11,1130,529020,10000590,529020,,1000-11-13-1130-000000-000000-000-529020-,Training Conf & Meetings,E,3486
1000,11,1130,529030,10000590,529030,,1000-11-13-1130-000000-000000-000-529030-,Postage,E,1000
1000,11,1130,529040,10000590,529040,,1000-11-13-1130-000000-000000-000-529040-,Printing & Publishing,E,3000
1000,11,1130,529050,10000590,529050,,1000-11-13-1130-000000-000000-000-529050-,"Dues,Subscr, & Prof Lic",E,500
1000,11,1130,529999,10000590,529999,,1000-11-13-1130-000000-000000-000-529999-,Pcard expense - unallocated,E,0
1000,11,1130,560100,10000590,560100,,1000-11-13-1130-000000-000000-000-560100-,Departmental Charges,E,-7484
1000,11,1140,510100,10000600,510100,,1000-11-13-1140-000000-000000-000-510100-,Salaries & Wages - Regular,E,5178479
1000,11,1140,510140,10000600,510140,,1000-11-13-1140-000000-000000-000-510140-,Overtime,E,0
1000,11,1140,510150,10000600,510150,,1000-11-13-1140-000000-000000-000-510150-,Salary & Wage - Temp,E,26200
1000,11,1140,510190,10000600,510190,,1000-11-13-1140-000000-000000-000-510190-,Salary & Wages-Part-Time,E,44493
1000,11,1140,510195,10000600,510195,,1000-11-13-1140-000000-000000-000-510195-,Employee Merit Pay,E,65478
1000,11,1140,515130,10000600,515130,,1000-11-13-1140-000000-000000-000-515130-,Social Security Tax,E,402160
1000,11,1140,515140,10000600,515140,,1000-11-13-1140-000000-000000-000-515140-,Empl Retirement Expns,E,371685
1000,11,1140,515150,10000600,515150,,1000-11-13-1140-000000-000000-000-515150-,Empl Insurance Premium,E,840875
1000,11,1140,515160,10000600,515160,,1000-11-13-1140-000000-000000-000-515160-,Retiree Insurance Premium,E,60678
1000,11,1140,515180,10000600,515180,,1000-11-13-1140-000000-000000-000-515180-,Unemploymnt Comp Or Taxes,E,37648
1000,11,1140,515190,10000600,515190,,1000-11-13-1140-000000-000000-000-515190-,401K Retirement,E,153788
1000,11,1140,520020,10000600,520020,,1000-11-13-1140-000000-000000-000-520020-,ISP Workmens Compensation,E,13318
1000,11,1140,520050,10000600,520050,,1000-11-13-1140-000000-000000-000-520050-,Auto & Othr Allowances,E,14392
1000,11,1140,520060,10000600,520060,,1000-11-13-1140-000000-000000-000-520060-,Meals and Subsistence,E,18055
1000,11,1140,520210,10000600,520210,,1000-11-13-1140-000000-000000-000-520210-,Advertising,E,3800
1000,11,1140,520250,10000600,520250,,1000-11-13-1140-000000-000000-000-520250-,Management Fees,E,0
1000,11,1140,521910,10000600,521910,,1000-11-13-1140-000000-000000-000-521910-,Misc Contractual Services,E,60782
1000,11,1140,522210,10000600,522210,,1000-11-13-1140-000000-000000-000-522210-,Specialty Departmental Supplie,E,7200
1000,11,1140,522230,10000600,522230,,1000-11-13-1140-000000-000000-000-522230-,Sm Tools & Expnd Eqpt,E,1000
1000,11,1140,522240,10000600,522240,,1000-11-13-1140-000000-000000-000-522240-,Office Supplies,E,13188
1000,11,1140,522250,10000600,522250,,1000-11-13-1140-000000-000000-000-522250-,Technology Services,E,608126
1000,11,1140,522500,10000600,522500,,1000-11-13-1140-000000-000000-000-522500-,Telecommunications,E,477752
1000,11,1140,522510,10000600,522510,,1000-11-13-1140-000000-000000-000-522510-,ISP Telecommunications,E,15050
1000,11,1140,522520,10000600,522520,,1000-11-13-1140-000000-000000-000-522520-,Utilities,E,9380
1000,11,1140,523000,10000600,523000,,1000-11-13-1140-000000-000000-000-523000-,ISP Insurance Premiums,E,184
1000,11,1140,524000,10000600,524000,,1000-11-13-1140-000000-000000-000-524000-,Rental Of Land & Bldgs,E,479200
1000,11,1140,529000,10000600,529000,,1000-11-13-1140-000000-000000-000-529000-,Travel & Meetings,E,3250
1000,11,1140,529010,10000600,529010,,1000-11-13-1140-000000-000000-000-529010-,Empl Reimb Training Exp,E,19000
1000,11,1140,529020,10000600,529020,,1000-11-13-1140-000000-000000-000-529020-,Training Conf & Meetings,E,42349
1000,11,1140,529030,10000600,529030,,1000-11-13-1140-000000-000000-000-529030-,Postage,E,8721
1000,11,1140,529040,10000600,529040,,1000-11-13-1140-000000-000000-000-529040-,Printing & Publishing,E,32203
1000,11,1140,529050,10000600,529050,,1000-11-13-1140-000000-000000-000-529050-,"Dues,Subscr, & Prof Lic",E,2700
1000,11,1140,529999,10000600,529999,,1000-11-13-1140-000000-000000-000-529999-,Pcard expense - unallocated,E,0
1000,11,1140,560100,10000600,560100,,1000-11-13-1140-000000-000000-000-560100-,Departmental Charges,E,-9600
1000,11,1150,510100,10000680,510100,,1000-11-13-1150-000000-000000-000-510100-,Salaries & Wages - Regular,E,791374
1000,11,1150,510150,10000680,510150,,1000-11-13-1150-000000-000000-000-510150-,Salary & Wage - Temp,E,48850
1000,11,1150,510190,10000680,510190,,1000-11-13-1150-000000-000000-000-510190-,Salary & Wages-Part-Time,E,0
1000,11,1150,510195,10000680,510195,,1000-11-13-1150-000000-000000-000-510195-,Employee Merit Pay,E,14692
1000,11,1150,515130,10000680,515130,,1000-11-13-1150-000000-000000-000-515130-,Social Security Tax,E,63474
1000,11,1150,515140,10000680,515140,,1000-11-13-1150-000000-000000-000-515140-,Empl Retirement Expns,E,59290
1000,11,1150,515150,10000680,515150,,1000-11-13-1150-000000-000000-000-515150-,Empl Insurance Premium,E,65125
1000,11,1150,515160,10000680,515160,,1000-11-13-1150-000000-000000-000-515160-,Retiree Insurance Premium,E,6742
1000,11,1150,515190,10000680,515190,,1000-11-13-1150-000000-000000-000-515190-,401K Retirement,E,24748
1000,11,1150,515200,10000680,515200,,1000-11-13-1150-000000-000000-000-515200-,Othr Empl Fringe Bnfts,E,4819
1000,11,1150,520050,10000680,520050,,1000-11-13-1150-000000-000000-000-520050-,Auto & Othr Allowances,E,100
1000,11,1150,520120,10000680,520120,,1000-11-13-1150-000000-000000-000-520120-,M&R-Buildings,E,150
1000,11,1150,520210,10000680,520210,,1000-11-13-1150-000000-000000-000-520210-,Advertising,E,650
1000,11,1150,521910,10000680,521910,,1000-11-13-1150-000000-000000-000-521910-,Misc Contractual Services,E,105600
1000,11,1150,522210,10000680,522210,,1000-11-13-1150-000000-000000-000-522210-,Specialty Departmental Supplie,E,200
1000,11,1150,522230,10000680,522230,,1000-11-13-1150-000000-000000-000-522230-,Sm Tools & Expnd Eqpt,E,150
1000,11,1150,522240,10000680,522240,,1000-11-13-1150-000000-000000-000-522240-,Office Supplies,E,2650
1000,11,1150,522250,10000680,522250,,1000-11-13-1150-000000-000000-000-522250-,Technology Services,E,11150
1000,11,1150,522500,10000680,522500,,1000-11-13-1150-000000-000000-000-522500-,Telecommunications,E,1850
1000,11,1150,522510,10000680,522510,,1000-11-13-1150-000000-000000-000-522510-,ISP Telecommunications,E,2656
1000,11,1150,524010,10000680,524010,,1000-11-13-1150-000000-000000-000-524010-,ISP Rental of Land & Buildings,E,30780
